'60_20' '70_25'
'60_20' '50_10'
'30_15' '40_25'
'30_25' '40_30'
'70_20' '60_10'
'50_25' '40_10'
'60_30' '30_10'
'60_20' '70_25'
'60_20' '50_10'
'30_15' '40_25'
'30_25' '40_30'
'70_20' '60_10'
'50_25' '40_10'
'60_30' '30_10'
'60_20' '70_25'
'60_20' '50_10'
'30_15' '40_25'
'30_25' '40_30'
'70_20' '60_10'
'50_25' '40_10'
'60_30' '30_10'
'70_30' '60_10'
'30_30' '40_15'
'50_10' '40_30'
'60_20' '30_20'
'50_20' '30_15'
'70_10' '60_15'
'70_30' '60_10'
'30_30' '40_15'
'50_10' '40_30'
'60_20' '30_20'
'50_20' '30_15'
'70_10' '60_15'
'70_30' '60_10'
'30_30' '40_15'
'50_10' '40_30'
'60_20' '30_20'
'50_20' '30_15'
'70_10' '60_15'
'70_20' '30_10'
'60_30' '40_20'
'50_15' '70_30'
'30_20' '40_30'
'40_15' '70_30'
'60_25' '30_10'
'50_25' '40_15'
'70_20' '30_10'
'60_30' '40_20'
'50_15' '70_30'
'30_20' '40_30'
'40_15' '70_30'
'60_25' '30_10'
'50_25' '40_15'
'70_20' '30_10'
'60_30' '40_20'
'50_15' '70_30'
'30_20' '40_30'
'40_15' '70_30'
'60_25' '30_10'
'50_25' '40_15'
'motor_control' 'motor_control_0'
'motor_control' 'motor_control_0'
'motor_control' 'motor_control_0'
'motor_control' 'motor_control_0'
'motor_control' 'motor_control_0'
'motor_control' 'motor_control_0'
'motor_control' 'motor_control_0'
'motor_control' 'motor_control_0'
'motor_control' 'motor_control_0'
'motor_control' 'motor_control_0'
'motor_control' 'motor_control_0'
'motor_control' 'motor_control_0'
'motor_control' 'motor_control_0'
'motor_control' 'motor_control_0'
'motor_control' 'motor_control_0'
'100_0'	'0_0'
'100_0'	'0_0'
'100_0'	'0_0'
'100_0'	'0_0'
'100_0'	'0_0'
'100_0'	'0_0'
'100_0'	'0_0'
'100_0'	'0_0'
'100_0'	'0_0'
'100_0'	'0_0'
'100_0'	'0_0'
'100_0'	'0_0'
'100_0'	'0_0'
'100_0'	'0_0'
'100_0'	'0_0'
'100_35'	'0_35'
'100_35'	'0_35'
'100_35'	'0_35'
'100_35'	'0_35'
'100_35'	'0_35'
'100_35'	'0_35'
'100_35'	'0_35'
'100_35'	'0_35'
'100_35'	'0_35'
'100_35'	'0_35'
'100_35'	'0_35'
'100_35'	'0_35'
'100_35'	'0_35'
'100_35'	'0_35'
'100_35'	'0_35' 
